individualnumber,gender,citycode,dateofbirth
98864992,K,34,1982
98095482,E,,1996
97005044,E,,1988
76369691,K,,1990
99750940,K,34,1998
99303847,K,6,1994
95529993,E,,1981
102112204,E,,2001
44006936,E,,1980
94263817,K,34,1963
92345303,K,33,1990
20757806,K,35,1953
99946723,E,4,1984
89777143,K,42,1985
100133982,E,7,1987
3325863,K,34,1954
96579811,K,,1991
100194220,K,,1966
99166222,K,77,1974
95945907,K,76,1996
99554566,E,61,1992
93301746,E,26,1994
99852900,E,,1975
94849433,K,17,1975
98350565,K,47,1998
93783465,K,9,1991
101451872,K,22,1997
84207331,K,,1954
101215509,K,37,1978
93364186,K,3,1997
96149541,K,34,1964
95683116,E,59,1977
95526506,K,,1991
99107534,K,35,1986
81555380,E,35,1981
97336025,E,,1998
93854143,E,,1958
101519023,E,16,1993
4876547,K,,1981
99866501,K,,1973
99976781,E,20,1985
94709320,E,6,1977
93527179,K,16,1992
24732663,K,,1981
99549468,E,48,2000
93455746,E,,1982
101959733,K,35,1998
100200786,K,16,1997
102246668,E,54,1971
96778469,K,,1998
101510295,E,33,1987
97351054,E,,1994
9358939,E,,1985
91239163,K,34,1978
97255212,K,34,1985
93570043,E,42,1975
74174356,E,33,1987
93976148,E,,1985
99676367,E,48,1994
22248803,K,34,1966
94009346,K,,1996
98702611,K,74,1968
100715825,E,6,1965
4517445,K,7,1963
22140767,E,35,1961
13801281,K,7,1979
99300482,K,33,1993
101778388,K,48,1966
92927615,E,,1990
98919989,E,35,1980
92954920,E,,1991
101662011,K,16,1996
98675510,E,,1985
93420121,E,,1974
99554484,E,9,1960
101759729,E,46,1993
93851207,K,,1972
93351584,E,34,1991
95838401,K,34,1997
100444857,K,,1995
93771107,K,17,1997
98071868,E,31,1958
47485127,K,33,1951
94117933,E,,1961
100954533,K,7,2003
95912566,K,34,1953
4266930,E,35,1966
100526364,K,34,1998
94638947,E,34,1958
94920519,E,,1954
3558331,E,35,1947
101581116,E,,1995
89674449,E,34,1981
101065812,E,6,1948
95013873,K,35,1986
96204191,E,7,1991
98300176,E,35,1989
97457092,E,34,1977
91343998,E,34,1986
99676693,K,41,1978
92620370,K,34,1988
99209269,K,41,1991
95553403,K,35,1965
94889666,K,,1972
96199970,K,,1961
94625815,K,80,1943
102010509,E,9,2003
99283985,E,26,1993
101627997,E,34,2001
99577486,E,9,2001
97145544,K,35,1984
94067973,E,,1987
98822393,K,,1985
95930674,K,34,1994
100847435,E,34,1954
94277908,E,26,1948
100025925,E,34,1989
101365084,E,67,2003
94734320,K,55,1992
101773881,K,7,1969
96196748,K,61,1999
97891318,E,27,1969
99755426,K,,1993
98545797,K,34,2000
99774676,E,35,1995
82098784,K,,1981
94739683,E,7,1967
94848943,K,,1980
94629832,E,48,1996
97642557,E,34,1993
39299662,E,35,1981
99215652,E,33,1976
93837238,K,,1982
92890930,E,35,1978
98400851,E,75,1989
100134920,E,,1992
93709544,K,,1981
91456133,E,,1980
75330885,K,37,1978
97633890,E,9,1971
98228213,E,,1965
98046052,K,,1989
101995684,K,,1987
90156759,K,,1997
93828388,E,34,1985
20475500,K,39,1972
94892806,E,61,1984
90347974,E,,1990
93318304,K,,1992
97982878,E,7,1968
93817193,K,10,1977
97633686,E,63,2000
94986650,E,,1991
98567922,E,6,1948
90658992,E,34,1978
100334924,K,,1992
90620227,E,20,1985
95504585,E,,1993
39911542,E,7,1972
47872941,E,42,1980
100115466,K,,1986
94758750,K,,1997
93629648,K,16,1975
101009326,E,61,1958
99098194,E,41,1970
98272015,E,6,1976
98534989,E,20,1956
93095094,K,7,1977
95184431,K,7,1990
101985080,K,6,1956
95971662,E,,1999
95874943,E,9,1980
92672206,K,7,1987
98592535,K,34,1970
39798999,K,35,1964
99674266,K,,1997
94281782,E,26,1951
87621858,K,39,1968
91162510,K,66,1989
96718088,K,,1976
100651101,K,33,1991
99721759,E,70,2001
94761686,E,20,1992
95168668,K,38,1963
97091811,E,21,1992
94134430,E,6,1991
98099030,E,33,1974
676665,K,34,1963
102111714,E,1,1982
97934569,K,59,1994
101131127,E,7,1983
94009876,K,,1980
98073010,K,26,1965
98145503,K,,1999
101009530,K,,1987
6116030,E,7,1980
100454645,K,35,1952
96598510,E,35,1946
100450689,K,,1998
93318590,K,34,1998
95969643,E,41,1956
87945070,K,26,1986
92633298,K,7,1992
92339145,K,34,1998
78370608,E,10,1972
97817254,E,34,1979
100273157,K,3,1971
94516208,E,41,1953
99114834,E,60,1966
96604811,K,,1981
78985527,E,34,1958
95322016,K,35,1963
98989933,K,,1973
96744047,K,26,1990
97053189,K,34,1963
100697309,K,,1984
93371955,K,34,1980
100924700,E,6,1982
95055248,K,10,1973
101616720,K,34,1995
95513557,K,34,1981
97182229,E,3,1973
98677447,K,39,1970
99735095,E,42,2001
42338998,E,,1972
52716372,K,1,
93388534,E,7,1990
18568793,K,31,1984
98867928,E,34,1995
3303330,K,34,1974
98930776,E,34,1987
24004324,E,38,1960
94306395,E,34,1956
93554993,K,34,1998
94038180,E,59,1999
71503359,E,35,1978
97010407,K,35,1977
92589925,K,3,1995
98536804,E,14,1950
88733361,E,34,1980
100634726,E,38,1987
98536396,E,16,1996
91610928,E,,1988
47117970,E,67,1978
98937159,E,,1987
92966380,E,6,1957
17772386,E,59,1969
93390532,K,,1981
97187388,K,22,2000
94416940,E,35,1945
96620696,K,,1991
98103190,E,34,1975
93079127,E,,1967
98201316,K,60,1985
99789297,K,,2002
101025089,K,,1978
95774268,E,34,1989
93294568,E,35,1987
92853490,E,34,1993
98117933,E,,1993
88832099,E,,1971
24478049,E,7,1985
93122929,E,35,1980
94927085,K,34,1965
101540189,E,,1987
91713214,E,35,1987
100430236,E,6,1948
100897925,K,6,1994
99520001,E,72,1995
95960242,E,6,1990
95563925,K,34,1975
24086483,K,,1961
96328867,E,10,1991
99023682,K,27,1982
95857426,E,72,1986
96003779,E,35,1976
95826165,K,6,1990
16201758,E,,1985
96138386,K,31,1989
99959447,E,27,1993
97518716,K,34,1977
96310555,K,,1983
89887524,E,59,1946
89519164,E,78,1982
93961323,K,34,1982
95365389,K,38,1999
92963566,E,38,1967
102221504,E,81,1994
95217425,E,9,1997
100392939,K,63,2000
101939341,E,7,1998
94467369,K,16,1999
96069849,E,,1980
94250195,K,,1987
98175479,E,42,1991
98887912,K,17,1988
100550548,K,10,1977
98806487,E,6,1969
99962404,E,34,1972
91240753,E,39,1999
54479010,E,34,1964
99875942,K,41,1969
9877791,E,,1965
100522917,K,67,1998
102112978,E,10,1981
98546796,K,,1994
94242874,K,34,1966
99189346,K,6,1991
97009387,K,15,1964
96457173,E,35,2001
19894656,E,68,1981
98868662,K,33,1998
96063731,K,31,1984
94519552,K,59,1979
100400708,K,,1994
101654751,K,16,1970
4607924,K,,1980
95126742,K,9,1992
97535621,K,27,1973
83129270,K,,1985
81586151,K,,1980
99640721,E,67,1940
101327705,E,27,1983
101147359,E,16,1965
94361331,K,48,1956
96666904,K,,1993
98194933,K,,1982
96369794,K,34,2000
101840603,K,7,1982
94304988,K,14,1994
95266264,E,34,1966
95508989,E,35,1960
99485457,E,34,1976
94566963,K,39,1986
100807038,K,27,2002
94083715,E,34,1997
94852083,E,34,2000
97130637,K,34,1995
100966054,K,,1991
91955735,E,41,1952
95172889,E,16,1990
97153925,K,32,1995
99260962,K,6,1974
96605749,E,45,1974
97763725,E,60,1978
100901942,E,,1995
101953615,E,72,1994
97745026,E,,1975
98444510,K,45,2000
95030696,K,,1998
94428665,K,34,1984
97113080,K,7,1970
98217813,E,2,1984
98957061,E,42,1953
93083205,K,33,1975
99552526,K,34,1976
86455806,E,21,1985
92657972,K,,1989
13159404,K,35,1974
87970009,E,35,1989
84089057,K,59,1979
20851955,K,34,1973
89134307,K,41,1982
92642882,E,39,1960
98135103,K,78,1968
92890848,K,,1979
98094319,E,34,1998
101631137,K,,1961
93050945,E,38,1992
94500710,E,3,1972
93409843,K,34,1989
23112279,E,,1956
98063874,E,7,1991
93399851,K,,1974
100331294,K,,2002
23297397,E,,1981
24949755,E,,1968
82232861,E,,1972
84551322,E,20,1980
90526036,K,1,1988
70403377,K,35,1959
94220076,E,46,1988
44328659,K,6,1951
98264694,E,21,1989
92901105,E,80,1959
97453992,E,34,2000
98380112,E,35,1996
98279437,K,21,1989
100040933,K,34,1989
93423261,E,47,1973
94209819,E,49,1993
99030574,K,35,1982
95545735,K,34,1975
97535091,E,34,1979
90238571,E,33,1987
101022193,E,1,1992
83503523,E,,1982
97924964,K,6,1991
75805323,E,,1982
100859221,E,59,2002
100913198,E,10,1987
98850228,K,7,1988
89110224,E,,1985
94943500,K,,1993
94091974,K,,1994
98329540,E,42,1982
92952615,E,34,1962
89724205,E,34,1995
95764398,E,33,1966
95506032,E,54,1988
96525180,E,,1992
98672879,K,,1996
93218628,K,1,1985
93657218,E,,1952
93909323,E,34,1999
98431887,E,34,1998
89276561,E,41,1955
94289082,E,,1949
96401034,E,7,1976
100226602,E,34,1973
96049171,K,,1996
74945395,K,65,1977
7898366,E,32,1955
99331722,E,,1985
98958264,E,16,1991
95230027,E,,1955
48997576,K,33,1969
6528701,K,52,1972
23569690,E,35,1954
76044235,E,35,1975
101030778,E,,1988
96468980,E,42,1978
102052475,E,25,1998
101997274,E,46,1973
93290183,E,,1991
101689825,E,34,1999
93813889,K,34,1993
100338594,K,34,1977
96046561,K,34,1969
93059408,K,,1968
100455236,E,77,1970
102267977,K,41,1986
94259167,E,72,1981
87694208,E,34,1979
96314572,K,20,1984
96211552,E,55,1973
93200785,E,,1988
100054698,K,34,1996
44083854,E,,1964
96147093,E,70,1976
99770985,E,34,1983
93599651,E,,1986
97512619,E,,1976
100624856,K,33,1992
100239204,K,,1987
91231964,E,,1973
100705139,E,59,1969
87155290,E,22,1984
94373994,E,,1942
95800410,K,39,1988
99971519,E,76,1990
96482194,E,9,1974
100226316,K,5,1995
99706648,E,26,1979
92739744,E,,1954
96029452,K,34,1951
98554096,K,,1962
101825982,K,63,1989
17866413,E,,1962
98259657,E,34,1985
94575691,E,,1983
99707586,K,16,1973
97576323,K,32,1975
95693087,E,35,1956
21628378,E,25,1981
94114160,K,35,1969
93526016,E,32,1973
97309107,E,63,2000
101400137,E,6,1965
101664804,E,38,1991
93360148,K,1,1969
98178232,E,6,1983
96002433,E,16,1975
95338961,K,34,1980
7034360,K,35,1973
98330743,K,7,1980
91025781,K,17,1954
100001291,E,,1985
94670717,K,6,1947
92181494,E,34,1986
52611985,E,35,1956
100359863,K,34,1967
24317544,K,,1980
101145666,E,27,1961
99602221,E,34,1989
102052271,K,,1981
94126436,E,34,1978
94347036,E,26,1940
99657891,E,34,1989
101886954,E,55,1976
92375197,K,34,1981
22724730,K,34,1970
95411536,E,,1995
99922884,K,67,1985
100747391,K,31,2002
82543593,K,9,1983
95298503,E,,1990
101548244,K,20,1972
96754222,K,16,1981
97429032,E,20,1982
94335637,K,34,1977
96571184,E,34,1979
98767579,K,34,1998
100853633,E,35,1983
93628098,K,21,1990
101980165,E,80,1979
93222237,K,7,1997
93224052,K,,1986
95468327,E,,1970
94576547,E,35,1989
97334128,E,34,1993
94112610,K,7,1990
93089241,K,,1990
98614252,E,27,1976
96207596,K,34,1988
94226968,K,39,1982
93984773,E,25,1998
98426116,E,51,1989
97197502,E,10,1982
99317305,E,34,1980
99384231,K,34,1992
99668148,E,53,1966
93165629,E,58,1970
98717068,K,34,1978
57064401,E,59,1965
96701570,E,19,1977
101407641,E,45,1965
88292079,K,,1979
98853429,K,,1995
99457683,K,34,1989
101287329,K,16,1985
95011446,E,,1984
100806956,E,31,2001
96344365,E,34,1983
52664902,E,,1989
97240019,E,34,1981
93641312,E,34,1995
94540596,E,34,1953
101991972,K,,1997
96247564,K,35,1958
99390267,E,34,1996
91739621,E,35,1953
101333598,E,35,1966
99189386,E,34,1993
92832690,E,35,1975
100425668,E,34,1987
86416837,E,6,1984
74308942,E,54,1990
97757159,K,33,1952
8532922,K,72,1972
98657646,E,59,1983
95930796,E,68,1982
97891888,K,,1989
99944010,K,34,1975
18399886,K,35,1975
95436067,E,6,1962
99600345,K,6,1971
96632564,E,10,1981
100340266,K,35,1959
39221825,E,34,1980
100644575,K,34,1995
101014403,K,,1991
94145951,E,,1978
98312492,E,,2001
101746963,K,81,1971
95875717,E,34,1966
22855034,E,,1984
88909751,K,,1977
93911872,K,,1991
98523182,E,64,1985
94119115,E,10,1970
92364389,K,,1992
96574814,K,48,1966
101009101,E,1,1981
90418509,E,35,1975
46756971,K,34,1948
96386005,E,25,1975
17114338,K,41,1976
81456825,E,3,1962
99608257,E,46,1993
96269159,K,65,1992
24666103,K,34,1972
95545123,E,67,1974
98287410,K,38,1975
97413473,E,34,1977
92259289,K,51,1988
90142443,K,48,1993
100553831,E,,1969
93070521,K,35,1990
102125580,K,73,2000
99523936,K,34,1980
100308271,E,16,1983
98926942,E,10,1987
99595247,K,35,1986
93375829,E,,1959
96279151,E,,1980
102153680,E,34,1988
89250337,K,16,1971
99217955,K,34,1979
86405499,K,16,1980
100808567,E,45,2003
74406946,K,34,1973
94642005,K,,1995
88793904,K,34,1942
96771188,E,10,1953
97487455,E,34,1989
68110936,E,,1972
95261206,E,20,2000
100098683,E,10,1963
93916827,K,16,1967
97791152,E,,1996
91748410,K,,1993
97800145,E,35,1974
82832465,E,,1988
88916643,E,34,1979
100284127,E,,1999
93562171,K,35,1967
101349626,K,7,1965
74823247,E,,1975
42742615,E,17,1956
96085448,K,35,1945
17727482,K,,1983
93871292,K,21,1989
93362554,K,,1994
98127843,K,,1991
101922089,E,42,1995
101902696,E,81,1977
95088160,E,34,1984
99272422,K,42,2001
95712133,E,,1972
95561620,K,9,1971
96490697,K,34,1994
96061304,E,,1978
95883507,K,41,1986
52125393,E,22,1975
100875575,E,27,1988
94684400,E,35,1989
97240896,E,10,1968
58798653,E,,1978
100045215,K,31,1998
94842356,K,,1965
89097601,E,34,1986
96052984,K,34,1971
95189794,E,,1993
94642209,K,17,1993
94499139,K,10,1987
95076027,E,59,1976
99444938,E,45,2001
98672675,E,77,1985
92757627,K,,1972
95841520,K,34,1977
97768476,K,34,1984
99766070,E,34,1967
95631707,K,,1965
98508744,E,15,2001
93572020,E,25,1961
94650182,E,,1961
93147847,K,16,1978
95534050,K,16,2000
96386596,E,10,1979
99474098,E,,1982
96163794,E,16,1975
99929246,E,41,1973
99939911,K,34,1980
94895395,K,20,1954
18807480,K,35,1951
101192873,E,6,1970
100533113,K,42,2000
98418530,E,33,2000
101985671,E,,1987
101071541,E,7,2001
98158696,E,78,1995
100218669,E,,1986
88815295,E,48,1996
50944577,E,,1994
98633706,E,59,1993
97912810,E,34,1994
47716024,E,44,1990
92654750,E,,1993
97644799,K,1,1981
97196707,K,,1985
95032837,E,1,1974
101088181,E,31,1979
23478191,K,31,1947
98659848,K,,1951
4326861,K,,1978
94027025,E,34,1949
96952350,E,57,1952
98425525,E,7,1976
95149662,K,59,1985
96647837,E,35,1985
99294955,K,6,1969
95267385,K,6,1997
97626344,E,35,1990
94800777,K,,1956
96315102,E,26,1980
97535070,E,38,1999
98452605,K,81,2000
4684087,E,19,1951
96557766,E,27,1954
94566473,K,,1991
90058530,E,34,1978
95387167,E,34,1987
94103026,E,7,1986
100417266,K,20,1974
74283595,E,35,1956
100274665,E,9,1986
97244974,E,,1969
97361963,K,,1992
95124519,K,39,1966
93378235,K,10,1977
94111529,E,,1996
93112161,K,,1980
94859852,K,26,2001
96885403,K,3,1958
99833465,K,21,1985
95176559,K,38,1966
97906570,K,34,1997
93459660,K,34,1979
99509845,K,34,1972
95715681,E,35,1996
98024211,E,17,1992
102160593,K,41,1993
89777244,K,6,1991
18645955,K,41,1966
94519674,K,20,1969
97899188,E,35,1993
96037955,K,20,1982
91776041,E,59,1975
101417368,K,45,1994
99619656,E,34,1995
88914624,K,,1993
91314510,E,,1990
96644554,E,9,1970
95298156,E,,1998
95297830,K,,1988
89076271,E,35,1979
97053820,E,78,1971
101220239,K,34,1995
98270036,K,35,1979
94283433,K,,1941
102051720,E,63,1991
94808138,E,,1987
94033938,K,34,1971
95825879,K,6,1991
98045541,K,55,1975
98242058,E,16,1941
97216344,E,,1987
100286533,K,,1956
100488760,K,34,1987
95226723,K,1,1972
5579354,K,,1976
96786951,E,35,1962
95229272,K,34,1974
99021295,E,,1981
92982652,E,,1983
102063996,E,,1976
96491961,K,55,1968
97205271,E,,1940
89926268,E,7,1972
95488719,K,34,1980
77846698,K,41,1987
101280538,E,34,1983
94565800,K,55,1993
97473364,E,24,1973
92974128,E,,1982
95978676,K,,1979
100495999,E,,1996
100785279,K,7,1968
96982856,E,10,1994
94259758,K,34,1988
93318609,E,,1997
93595960,E,34,1988
95394875,E,34,2000
99398913,E,34,1997
7809946,K,34,1949
91849941,K,22,1998
96658971,K,1,1993
93460863,K,21,1986
90276051,E,6,1970
91453012,E,42,1979
100364818,K,48,1955
97767864,E,16,1952
96455419,K,,1991
95658930,E,33,1998
101591678,E,1,1982
97871027,E,,1990
96178802,K,,1984
102170707,E,16,1957
101969561,E,5,2000
98651610,K,35,2000
99302806,E,35,1972
90279660,E,,1988
98116566,K,21,1991
102031736,K,34,1985
101225806,E,3,1999
96019521,K,22,2000
99159940,E,38,1989
101898475,K,55,1980
98229578,K,35,1964
94495040,K,27,1991
4644792,E,35,1954
12516364,E,34,1969
101762848,K,23,1996
96630667,E,12,1969
97390185,K,6,1973
97225867,E,34,1978
99880897,K,1,1955
100837666,K,44,1985
98898556,E,58,1994
100627935,K,9,1986
93774369,E,45,1987
99230965,E,24,1978
93469183,K,,1975
95232168,K,7,1942
99431499,K,59,1973
101118483,E,43,1990
95153027,E,,1982
87161305,K,7,1952
98478482,K,55,1989
93921374,K,,1958
92045194,K,35,1994
99206209,K,70,1996
95876920,E,,1964
95526403,K,20,1980
97041075,E,58,1987
95237939,K,34,1934
95612518,E,35,1985
92308841,E,,1988
19294867,E,,1958
95275215,E,34,1992
94326888,E,15,1947
88456723,K,,1985
16908868,E,21,1976
94343997,K,34,1989
19747935,K,,1984
92982183,E,35,1976
95206678,E,34,1945
100742762,K,42,1987
94477197,E,60,1963
93876838,K,10,1992
95992073,E,17,1977
45475562,E,34,1984
101097357,K,34,1984
98938606,E,9,1989
101674306,K,24,1984
95715334,K,,1965
66341650,K,,1978
94022518,E,47,1996
100178619,E,59,1982
102246769,E,16,1973
94245932,E,6,1955
52583538,K,34,1970
87930163,E,48,1969
97722655,E,35,1996
88433130,E,48,1991
2435305,E,,1961
3193212,E,7,1953
95951024,E,,1966
94536823,K,,1966
101558745,K,48,1999
93454970,E,25,1989
94578953,E,34,1998
19463223,K,1,1983
93533703,K,34,1960
21026999,E,34,1974
96056002,K,35,1971
41823244,E,5,1985
97302112,E,51,1998
95665435,K,35,2000
99596633,K,36,1990
97794700,K,35,1992
84942173,E,,1989
96211674,E,55,1969
94576526,K,9,1986
98425361,E,6,1995
98816601,E,34,1972
99009080,E,31,1980
93544572,E,35,1987
98444815,K,,2000
101466186,E,34,1986
97343365,K,7,1998
86540024,E,34,1974
95850227,E,6,1982
93719494,E,5,1959
98674734,K,,1998
101875595,K,,1983
97537272,K,10,1989
98722553,K,21,1996
98472385,E,,1993
98291019,K,41,1999
100704996,K,41,1980
92964197,K,7,1970
92849574,E,,1987
88554523,K,,1989
101915624,K,,2002
92989891,E,,1980
101543716,K,42,1979
85468754,K,,1985
94838909,K,14,1979
80968866,K,,1954
97992277,K,59,1958
16624421,E,16,1956
8966740,K,34,1967
97820842,E,59,1997
101502402,K,3,1992
100263184,K,19,2001
98823024,E,34,1986
101727019,K,53,2002
89186938,E,35,1996
21001162,K,,1974
101222910,E,34,1964
98996070,K,34,1972
90913482,K,23,1997
98048885,E,35,1957
101715355,K,,1960
100371180,E,26,1988
95564087,K,34,1986
96215569,E,,1976
95624651,E,42,1970
99526403,E,19,1955
90803427,E,47,1985
101109164,K,10,1984
7035073,E,24,1971
90293425,E,38,1989
89136835,E,,1991
101051271,K,,1995
94214019,E,42,2000
95226580,K,23,1985
99069379,K,,1959
94210919,E,7,1986
10837353,E,,1985
53213057,E,17,1989
62181267,K,45,1977
101359414,E,,1971
23645792,E,7,1977
96782383,E,48,1957
97246850,K,16,1995
39654623,E,35,1957
93948618,K,35,1976
98551852,E,26,1987
90694024,K,,1981
93449464,E,34,1981
95465900,E,6,1966
101561702,E,75,1972
69131205,E,33,1987
21709578,E,34,1955
94334739,K,10,1981
101253559,K,,1991
100775674,E,,2003
97918030,E,47,1992
8013437,E,50,1975
93334902,E,62,1972
93714192,K,33,1990
96908548,K,,1962
20481902,K,55,1976
99282944,K,,1952
85487270,E,16,1973
93258453,K,,1964
97974373,E,7,1982
94483172,E,1,1973
93119665,E,,1992
92635540,K,34,1992
93631890,E,20,1991
10123370,E,38,1962
93837196,K,60,2000
101169524,E,,1985
96595511,E,28,1978
96440247,K,,1988
65846778,E,,1980
100155739,K,51,1993
98806323,K,50,1989
23264218,K,38,1975
5002262,K,6,1945
97934996,E,20,1952
19523379,K,54,1965
101768129,K,35,1995
96771453,E,6,1980
94443652,K,7,1974
96198113,K,34,1993
94625895,K,26,1958
93075129,K,,1967
16802096,E,48,1968
101515738,K,42,1971
97728079,K,,1989
97241752,E,65,1989
97982081,E,27,1966
93294261,E,,1989
98541656,E,6,1994
46310734,K,34,1962
97503136,E,45,1992
93774430,K,26,1997
101857405,E,63,1990
39964621,K,34,1948
41239382,E,35,1986
94887870,E,35,1932
101064485,E,1,1998
100802041,K,19,1989
100390165,K,42,1976
101299502,E,6,1998
94978614,E,21,1980
100972130,E,41,1975
90220707,E,,1992
100160633,K,,1988
